topic_id,label,keywords
0,"Topic 0: people, kid, child","people (0.022), kid (0.020), child (0.016), social (0.015), medium (0.015), know (0.010), think (0.009), http (0.009), parent (0.008), need (0.008), life (0.008), addiction (0.006), say (0.006), thing (0.006), mental (0.006)"
1,"Topic 1: content, post, algorithm","content (0.027), post (0.013), algorithm (0.012), view (0.012), see (0.011), watch (0.010), ad (0.009), son (0.009), show (0.009), platform (0.008), want (0.007), block (0.007), keep (0.007), time (0.007), people (0.006)"
2,"Topic 2: year, said, day","year (0.015), said (0.011), day (0.011), time (0.011), kid (0.009), know (0.008), old (0.007), friend (0.007), feel (0.007), first (0.007), back (0.006), told (0.006), dad (0.006), job (0.005), going (0.005)"
3,"Topic 3: account, reason, banned","account (0.038), reason (0.023), banned (0.016), ban (0.009), community (0.009), support (0.008), post (0.008), back (0.007), new (0.007), keep (0.007), without (0.007), channel (0.007), time (0.006), today (0.006), message (0.006)"
4,"Topic 4: time, social, medium","time (0.013), social (0.008), medium (0.008), hour (0.006), http (0.006), brain (0.006), amp (0.006), feeling (0.005), control (0.005), screen (0.005), feel (0.005), relationship (0.005), attention (0.004), must (0.004), dopamine (0.004)"
