topic_id,label,keywords
0,"Topic 0: account, new, friend","account (0.027), new (0.027), friend (0.026), add (0.019), disabled (0.018), feed (0.017), filter (0.015), year (0.014), platform (0.014), old (0.013), feature (0.012), family (0.012), useful (0.012), hour (0.012), photo (0.012)"
1,"Topic 1: account, content, banned","account (0.069), content (0.026), banned (0.018), support (0.016), suspended (0.016), community (0.015), team (0.012), guideline (0.011), need (0.011), keep (0.010), time (0.009), issue (0.009), adult (0.009), user (0.009), help (0.009)"
2,"Topic 2: people, post, social","people (0.031), post (0.026), social (0.025), comment (0.025), way (0.025), block (0.021), content (0.018), platform (0.018), bot (0.015), medium (0.015), creator (0.013), porn (0.012), fake (0.012), ad (0.011), user (0.011)"
3,"Topic 3: content, time, child","content (0.026), time (0.021), child (0.021), sexual (0.018), recommended (0.018), see (0.017), watching (0.017), kid (0.016), highly (0.014), later (0.014), sec (0.014), need (0.014), another (0.013), still (0.012), stuff (0.012)"
4,"Topic 4: ad, account, block","ad (0.079), account (0.029), block (0.025), keep (0.025), getting (0.020), watch (0.019), day (0.018), every (0.017), interested (0.015), time (0.015), new (0.014), scam (0.014), algorithm (0.013), kar (0.011), restricted (0.011)"
5,"Topic 5: people, account, reason","people (0.024), account (0.019), reason (0.016), report (0.015), something (0.015), say (0.015), know (0.014), thing (0.012), channel (0.012), keep (0.012), message (0.012), age (0.011), friend (0.011), disgusting (0.011), let (0.010)"
6,"Topic 6: see, feed, show","see (0.036), feed (0.029), show (0.017), post (0.017), account (0.016), page (0.016), algorithm (0.015), issue (0.013), problem (0.013), search (0.012), follow (0.012), news (0.012), ad (0.012), bug (0.011), people (0.011)"
