topic_id,label,keywords
0,"Topic 0: new, friend, account","new (0.026), friend (0.026), account (0.025), add (0.019), feed (0.017), filter (0.015), disabled (0.014), platform (0.013), year (0.012), family (0.012), feature (0.012), useful (0.012), photo (0.012), update (0.011), hour (0.011)"
1,"Topic 1: account, content, banned","account (0.069), content (0.026), banned (0.018), support (0.016), suspended (0.016), community (0.014), team (0.011), guideline (0.011), keep (0.011), need (0.010), school (0.010), adult (0.010), time (0.009), reason (0.009), still (0.009)"
2,"Topic 2: people, post, way","people (0.030), post (0.028), way (0.026), social (0.026), block (0.026), comment (0.024), bot (0.016), medium (0.015), creator (0.014), platform (0.014), content (0.013), porn (0.013), fake (0.013), algorithm (0.012), user (0.010)"
3,"Topic 3: content, time, child","content (0.023), time (0.022), child (0.019), recommended (0.017), see (0.016), need (0.016), watching (0.015), highly (0.015), kid (0.014), later (0.014), sec (0.014), another (0.013), access (0.012), year (0.012), still (0.012)"
4,"Topic 4: ad, account, keep","ad (0.077), account (0.030), keep (0.024), getting (0.021), watch (0.020), block (0.020), day (0.017), interested (0.015), every (0.015), new (0.014), time (0.014), scam (0.014), algorithm (0.013), kar (0.011), minute (0.011)"
5,"Topic 5: people, account, reason","people (0.023), account (0.016), reason (0.016), say (0.015), report (0.014), know (0.014), something (0.012), channel (0.012), thing (0.012), friend (0.011), let (0.011), content (0.010), disgusting (0.010), keep (0.010), child (0.010)"
6,"Topic 6: see, feed, account","see (0.035), feed (0.025), account (0.017), show (0.016), post (0.016), page (0.015), ad (0.014), issue (0.013), algorithm (0.013), problem (0.012), search (0.012), back (0.012), follow (0.012), news (0.011), people (0.010)"
